2023-06-16 08:16:35,517 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.02970726856890134 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,521 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.02970726856890134 None
2023-06-16 08:16:35,524 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0007916800171072756 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,524 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0007916800171072756 None
2023-06-16 08:16:35,528 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.002668628671527457 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,528 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.002668628671527457 None
2023-06-16 08:16:35,535 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 1.382306929366862e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,535 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 1.382306929366862e-05 None
2023-06-16 08:16:35,538 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 7.849770570908982e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,538 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 7.849770570908982e-05 None
2023-06-16 08:16:35,542 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 1.2333874155662197e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,542 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 1.2333874155662197e-05 None
2023-06-16 08:16:35,542 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 6.917581656053421e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,546 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 6.917581656053421e-05 None
2023-06-16 08:16:35,546 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.002718581890642873 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,546 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.002718581890642873 None
2023-06-16 08:16:35,551 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0036226351016130855 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,551 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0036226351016130855 None
2023-06-16 08:16:35,555 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.00801280555720233 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,555 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.00801280555720233 None
2023-06-16 08:16:35,555 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0022126457928114884 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,555 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0022126457928114884 None
2023-06-16 08:16:35,559 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.00459340725555315 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,559 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.00459340725555315 None
2023-06-16 08:16:35,565 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.010599566718801235 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,569 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.010599566718801235 None
2023-06-16 08:16:35,569 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.00029127486743867385 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,569 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.00029127486743867385 None
2023-06-16 08:16:35,573 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0003321754604553319 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,573 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0003321754604553319 None
2023-06-16 08:16:35,579 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0002815840603890222 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,579 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0002815840603890222 None
2023-06-16 08:16:35,579 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0013714896272707532 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,583 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0013714896272707532 None
2023-06-16 08:16:35,583 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 2.3024467315070818e-05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,583 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 2.3024467315070818e-05 None
2023-06-16 08:16:35,587 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.01282258243497097 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,587 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.01282258243497097 None
2023-06-16 08:16:35,591 INFO    MainThread:8416 [wandb_config.py:__setitem__():152] config set learning_rate = 0.0062645024485344395 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001595E1E4E20>>
2023-06-16 08:16:35,591 INFO    MainThread:8416 [wandb_run.py:_config_callback():1283] config_cb learning_rate 0.0062645024485344395 None
